This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202309 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
196307,  -0.6705,   1.2181,   2.4664,  -0.9614,  -1.1993,  -1.2551,  -2.1457,  -1.1506,   0.6419,   0.3073,  -1.3263,  -3.8967,   0.2350,  -2.9265,  -1.2966,  -3.6017,  -0.6540,  -2.1827,  -1.4483,  -0.0358,   0.2036,   1.3578,  -0.0689,  -1.1041,   0.6455
196308,   2.1994,   3.6919,   2.2153,   2.3272,   4.0410,   6.2016,   5.4030,   3.4699,   4.6566,   3.5437,   6.1878,   3.9211,   3.4945,   4.2867,   6.8804,   4.8709,   4.9670,   5.9343,   4.1942,   6.2595,   4.1981,   3.6953,   4.7542,   5.3736,   5.4765
196309,  -1.5825,  -1.1712,  -2.2143,   4.0691,  -1.6038,  -1.9994,  -1.9601,  -0.0890,  -2.5102,  -4.2698,  -0.9913,  -1.7474,  -2.2820,  -1.4235,  -3.8798,  -1.9026,  -1.4033,  -2.5062,  -3.0080,  -2.4167,  -2.5485,  -2.3196,   0.8222,  -2.0080,  -1.3054
196310,   0.1584,  -1.0551,   1.1348,   3.0337,   0.2181,   3.5349,   2.9549,   1.0929,  -1.4399,   4.6419,   1.7029,   2.3478,   2.6537,   1.4529,   0.9615,   2.9412,   0.2448,   1.6633,  -0.8305,   2.9515,  -0.1189,  -0.1349,   2.2829,   2.9912,   7.7337
196311,  -2.3473,  -1.7879,  -3.6168,  -2.6146,  -3.3887,  -1.6161,  -0.7255,  -0.3999,  -1.6184,  -2.3957,  -1.5699,  -0.9234,  -2.7831,  -3.4956,  -2.7468,  -0.5446,  -1.5143,  -0.5209,  -0.7213,   0.3579,  -1.6703,  -1.8024,   0.7283,   0.3042,  -3.8383
196312,  -1.5839,  -1.1028,  -1.0306,  -0.7342,  -2.4923,  -0.5459,  -0.4499,  -0.1832,  -1.1362,  -0.6706,   1.5307,   1.4914,  -0.7967,  -1.1643,   2.9633,   3.3885,   1.1751,   0.1339,   1.0174,  -1.0537,   0.0228,   4.4233,   1.4650,   2.7466,   2.0145
196401,   4.9980,   4.3127,   2.6557,   4.4914,   2.3408,   0.8561,   2.2486,   2.0338,   1.4101,   1.1552,   3.9457,   1.6438,   0.9391,   0.8360,   3.7096,   2.1850,   0.8441,   1.6352,   0.5458,   0.6589,   1.9813,   4.5580,   2.2734,   1.6074,   3.1064
196402,   3.5191,   0.3670,  -0.7786,   1.4039,   2.4273,   3.2043,   1.1249,   0.5925,  -0.6817,   3.4540,   2.7328,   1.8200,   1.7630,   0.4960,   2.2236,   1.1324,   1.5406,   3.5226,   1.9831,   2.8773,   1.6864,   0.9932,   0.4003,   1.2601,   1.7879
196403,   2.2963,   2.3662,   1.2573,   2.3683,   1.4710,   4.6699,   5.9071,   2.5424,   2.9583,   3.2425,   7.9648,   3.6536,   1.2821,   2.7353,   1.4618,   4.8107,   3.1068,   3.3128,   2.0491,   3.0082,   1.2773,   2.5381,  -0.2375,   1.1931,   1.9088
196404,  -0.8120,   1.3291,   0.1738,   2.6129,  -1.6501,  -0.6795,  -1.2073,  -1.7169,  -2.2502,  -0.5321,  -1.7947,  -0.4941,   0.7653,  -3.9180,  -1.5515,   5.7838,  -0.0092,  -1.0651,  -0.3931,  -2.8877,   2.9784,   2.2988,   0.2761,  -1.3031,   0.8021
